"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 19, 2018","139.12","137.31","139.84","137.14","1.03M","1.65%"
"Oct 18, 2018","136.86","138.24","138.30","135.88","772.13K","-0.99%"
"Oct 17, 2018","138.23","137.30","139.19","137.22","844.45K","0.51%"
"Oct 16, 2018","137.53","133.00","137.60","132.74","1.55M","4.48%"
"Oct 15, 2018","131.63","129.99","132.97","129.59","2.00M","0.54%"
"Oct 12, 2018","130.92","134.90","135.13","129.65","1.47M","-1.29%"
"Oct 11, 2018","132.63","134.00","134.79","131.52","1.87M","-1.02%"
"Oct 10, 2018","134.00","137.88","137.88","133.80","1.57M","-2.54%"
"Oct 09, 2018","137.49","138.60","139.50","137.39","2.78M","-1.41%"
"Oct 08, 2018","139.45","138.57","139.79","137.95","1.12M","0.64%"
"Oct 05, 2018","138.57","137.03","138.75","137.03","1.20M","0.86%"
"Oct 04, 2018","137.39","135.57","137.43","132.98","1.95M","0.68%"
"Oct 03, 2018","136.46","139.40","139.53","136.40","1.06M","-2.11%"
"Oct 02, 2018","139.40","138.86","139.77","138.49","1.14M","0.68%"
"Oct 01, 2018","138.46","139.47","141.05","137.96","1.29M","-0.47%"
"Sep 28, 2018","139.12","138.25","140.56","138.25","3.89M","0.42%"
"Sep 27, 2018","138.54","136.99","138.69","136.99","1.48M","1.12%"
"Sep 26, 2018","137.01","136.68","137.97","135.45","1.21M","-0.02%"
"Sep 25, 2018","137.04","138.87","139.61","136.78","1.72M","-1.17%"
"Sep 24, 2018","138.66","139.90","141.04","138.50","1.18M","-1.28%"
"Sep 21, 2018","140.46","139.87","141.68","139.50","2.36M","0.39%"
"Sep 20, 2018","139.91","138.63","140.42","137.83","2.00M","1.75%"
"Sep 19, 2018","137.51","138.44","139.20","136.66","1.18M","-0.54%"
"Sep 18, 2018","138.25","136.68","138.65","136.25","1.05M","1.29%"
"Sep 17, 2018","136.49","136.23","137.44","135.25","1.68M","-0.01%"
"Sep 14, 2018","136.50","137.95","138.29","135.57","1.63M","-0.53%"
"Sep 13, 2018","137.23","135.17","138.66","133.85","6.84M","4.64%"
"Sep 12, 2018","131.15","127.40","132.16","126.95","1.84M","3.02%"
"Sep 11, 2018","127.31","126.45","128.82","124.63","1.04M","-1.04%"
"Sep 10, 2018","128.65","127.50","128.78","127.19","599.88K","1.25%"
"Sep 07, 2018","127.06","129.22","129.58","126.73","634.92K","-2.17%"
"Sep 06, 2018","129.88","127.80","130.95","127.80","1.49M","1.69%"
"Sep 05, 2018","127.72","129.31","129.85","127.58","936.66K","-1.44%"
"Sep 04, 2018","129.59","129.87","130.06","128.08","762.10K","-0.54%"
"Aug 31, 2018","130.29","129.55","130.53","129.24","460.75K","0.32%"
"Aug 30, 2018","129.88","130.12","130.65","129.12","473.58K","-0.30%"
"Aug 29, 2018","130.27","130.39","130.44","129.36","393.71K","-0.10%"
"Aug 28, 2018","130.40","131.25","131.56","130.06","352.49K","-0.63%"
"Aug 27, 2018","131.23","131.96","131.98","130.95","478.12K","-0.36%"
"Aug 24, 2018","131.71","131.18","131.75","130.08","266.02K","0.67%"
"Aug 23, 2018","130.83","131.13","131.34","130.45","503.50K","-0.59%"
"Aug 22, 2018","131.60","133.20","133.20","131.16","343.79K","-1.13%"
"Aug 21, 2018","133.10","133.86","134.51","132.71","540.28K","-0.45%"
"Aug 20, 2018","133.70","132.76","133.86","132.41","490.03K","1.17%"
"Aug 17, 2018","132.16","131.87","132.84","131.66","1.59M","0.41%"
"Aug 16, 2018","131.62","131.79","132.23","131.41","431.69K","0.35%"
"Aug 15, 2018","131.16","130.83","131.28","129.76","501.73K","-0.11%"
"Aug 14, 2018","131.30","131.26","132.63","131.24","459.49K","0.04%"
"Aug 13, 2018","131.25","132.41","133.20","130.74","570.60K","-0.88%"
"Aug 10, 2018","132.41","133.75","134.48","132.36","683.69K","-1.52%"
"Aug 09, 2018","134.45","134.89","135.37","134.18","535.73K","0.14%"
"Aug 08, 2018","134.26","134.58","135.69","132.07","769.98K","0.02%"
"Aug 07, 2018","134.23","134.48","135.22","133.34","809.25K","0.10%"
"Aug 06, 2018","134.10","133.49","135.48","132.42","772.68K","-0.07%"
"Aug 03, 2018","134.20","132.80","134.46","132.70","672.45K","1.54%"
"Aug 02, 2018","132.17","132.03","132.78","131.52","668.49K","-0.16%"
"Aug 01, 2018","132.38","132.50","133.18","131.85","761.01K","-0.29%"
"Jul 31, 2018","132.76","130.62","133.07","130.62","511.33K","1.85%"
"Jul 30, 2018","130.35","131.27","131.91","130.17","411.35K","-0.66%"
"Jul 27, 2018","131.22","131.28","132.49","130.50","329.37K","-0.04%"
"Jul 26, 2018","131.27","129.39","131.53","129.38","429.86K","1.65%"
"Jul 25, 2018","129.14","128.43","129.53","126.79","508.03K","0.52%"
"Jul 24, 2018","128.47","128.00","129.20","127.07","572.91K","0.99%"
"Jul 23, 2018","127.21","128.50","128.51","127.02","629.45K","-1.34%"
"Jul 20, 2018","128.94","129.92","130.05","128.22","639.63K","-0.74%"
"Jul 19, 2018","129.90","127.89","130.01","126.71","709.88K","1.30%"
"Jul 18, 2018","128.23","129.21","129.95","128.16","564.35K","-0.59%"
