Date,Price,Vol.,LOG Return,Return
2018-07-31,132.76,511.33K,0.01831984647226311,0.018488684311469106
2018-07-30,130.35,411.35K,-0.006652163537220787,-0.006630086877000507
2018-07-27,131.22,329.37K,-0.0003809668985846411,-0.00038089433991017607
2018-07-26,131.27,429.86K,0.016359183616995378,0.016493727737339592
2018-07-25,129.14,508.03K,0.005201673154802438,0.00521522534443819
2018-07-24,128.47,572.91K,0.00985614987539873,0.009904881691690903
2018-07-23,127.21,629.45K,-0.013507915714354564,-0.01341709322165352
2018-07-20,128.94,639.63K,-0.00741774379407977,-0.007390300230946889
2018-07-19,129.9,709.88K,0.012939397205529588,0.013023473446151623
2018-07-18,128.23,564.35K,-0.005909355506020427,-0.0058919296069464
2018-07-17,128.99,351.36K,0.012560137033825223,0.012639346836238241
2018-07-16,127.38,476.68K,-0.006884708777497144,-0.006861063464837058
2018-07-13,128.26,296.71K,0.0007799704006678026,0.0007802746566791807
2018-07-12,128.16,347.79K,0.0030477107168173072,0.0030523597088518706
2018-07-11,127.77,716.93K,-0.009115407279242316,-0.0090739879013495
2018-07-10,128.94,770.60K,0.02521042927738413,0.025530899546647445
2018-07-09,125.73,470.69K,0.004144422924233516,0.004153022921491889
2018-07-06,125.21,378.18K,0.005686611776094041,0.005702811244979955
2018-07-05,124.5,597.71K,0.01252794724256071,0.012606750711671388
2018-07-03,122.95,285.48K,-0.004949099388179362,-0.004936872774360612
2018-07-02,123.56,440.62K,-0.003232064869166495,-0.0032268473701193567
2018-06-29,123.96,472.60K,0.0020996535211051993,0.002101859337105827
2018-06-28,123.7,483.96K,0.0046997898678184154,0.004710851202079258
2018-06-27,123.12,465.80K,-0.000649561568795645,-0.0006493506493506773
2018-06-26,123.2,412.36K,-0.003565066164496146,-0.003558718861209953
2018-06-25,123.64,549.18K,-0.007734489089437151,-0.007704654895666074
2018-06-22,124.6,872.47K,-0.0005616400035309044,-0.0005614823133072155
2018-06-21,124.67,536.03K,-0.006794862067893504,-0.00677182919056718
2018-06-20,125.52,467.41K,0.001674441247583413,0.001675843907110286
2018-06-19,125.31,735.61K,-0.0019134184264003474,-0.0019115890083631903
2018-06-18,125.55,700.14K,-0.005243100666945121,-0.005229379605419471
2018-06-15,126.21,1.14M,0.01356115230621798,0.013653521805477409
2018-06-14,124.51,1.09M,0.007901992415598769,0.007933295555735409
2018-06-13,123.53,800.09K,-0.007259267238817565,-0.007232982399742904
2018-06-12,124.43,1.06M,-0.009040423186212928,-0.008999681427206085
2018-06-11,125.56,549.63K,-0.006746860533713438,-0.006724151570287162
2018-06-08,126.41,561.37K,0.0015041763513726652,0.0015053081920455291
2018-06-07,126.22,675.54K,0.004924162121995139,0.004936305732484048
2018-06-06,125.6,805.58K,0.00935894524655826,0.009402877119665476
2018-06-05,124.43,893.20K,-0.0008836406567660098,-0.000883250361329635
2018-06-04,124.54,747.71K,0.004184106522574091,0.004192872117400492
2018-06-01,124.02,1.06M,0.015356791738734802,0.015475313190862261
